Date,Close
9/8/2017,73.98
9/7/2017,74.34
9/6/2017,73.4
9/5/2017,73.61
9/1/2017,73.94
08/31/2017,74.77
08/30/2017,74.01
08/29/2017,73.05
08/28/2017,72.83
08/25/2017,72.82
08/24/2017,72.69
08/23/2017,72.72
08/22/2017,73.16
08/21/2017,72.15
08/18/2017,72.49
08/17/2017,72.4
08/16/2017,73.65
08/15/2017,73.22
08/14/2017,73.59
8/11/2017,72.5
8/10/2017,71.41
8/9/2017,72.47
8/8/2017,72.79
8/7/2017,72.4
8/4/2017,72.68
8/3/2017,72.15
8/2/2017,72.26
8/1/2017,72.58
07/31/2017,72.7
07/28/2017,73.04
07/27/2017,73.16
07/26/2017,74.05
07/25/2017,74.19
07/24/2017,73.6
07/21/2017,73.79
07/20/2017,74.22
07/19/2017,73.86
07/18/2017,73.3
07/17/2017,73.35
07/14/2017,72.78
07/13/2017,71.77
7/12/2017,71.15
7/11/2017,69.99
7/10/2017,69.98
7/7/2017,69.46
7/6/2017,68.57
7/5/2017,69.08
7/3/2017,68.17
06/30/2017,68.93
06/29/2017,68.49
06/28/2017,69.8
06/27/2017,69.21
06/26/2017,70.53
06/23/2017,71.21
06/22/2017,70.26
06/21/2017,70.27
06/20/2017,69.91
06/19/2017,70.87
06/16/2017,70
06/15/2017,69.9
06/14/2017,70.27
06/13/2017,70.65
6/12/2017,69.78
6/9/2017,70.32
6/8/2017,71.95
6/7/2017,72.39
6/6/2017,72.52
6/5/2017,72.28
6/2/2017,71.76
6/1/2017,70.1
05/31/2017,69.84
05/30/2017,70.41
05/26/2017,69.96
05/25/2017,69.62
05/24/2017,68.77
05/23/2017,68.68
05/22/2017,68.45
05/19/2017,67.69
05/18/2017,67.71
05/17/2017,67.48
05/16/2017,69.41
05/15/2017,68.43
5/12/2017,68.38
5/11/2017,68.46
5/10/2017,69.31
5/9/2017,69.04
5/8/2017,68.94
5/5/2017,69
5/4/2017,68.81
5/3/2017,69.08
5/2/2017,69.3
5/1/2017,69.41
04/28/2017,68.46
04/27/2017,68.27
04/26/2017,67.83
04/25/2017,67.92
04/24/2017,67.53
04/21/2017,66.4
04/20/2017,65.5
04/19/2017,65.04
04/18/2017,65.39
04/17/2017,65.48
04/13/2017,64.95
4/12/2017,65.23
4/11/2017,65.48
4/10/2017,65.53
4/7/2017,65.68
4/6/2017,65.73
4/5/2017,65.56
4/4/2017,65.73
4/3/2017,65.55
03/31/2017,65.86
03/30/2017,65.71
03/29/2017,65.47
03/28/2017,65.29
03/27/2017,65.1
03/24/2017,64.98
03/23/2017,64.87
03/22/2017,65.03
03/21/2017,64.21
03/20/2017,64.93
03/17/2017,64.87
03/16/2017,64.64
03/15/2017,64.75
03/14/2017,64.41
03/13/2017,64.71
3/10/2017,64.93
3/9/2017,64.73
3/8/2017,64.99
3/7/2017,64.4
3/6/2017,64.27
3/3/2017,64.25
3/2/2017,64.01
3/1/2017,64.94
02/28/2017,63.98
02/27/2017,64.23
02/24/2017,64.62
02/23/2017,64.62
02/22/2017,64.36
02/21/2017,64.49
02/17/2017,64.62
02/16/2017,64.52
02/15/2017,64.53
02/14/2017,64.57
02/13/2017,64.72
2/10/2017,64
2/9/2017,64.06
2/8/2017,63.34
2/7/2017,63.43
2/6/2017,63.64
2/3/2017,63.68
2/2/2017,63.17
2/1/2017,63.58
01/31/2017,64.65
01/30/2017,65.13
01/27/2017,65.78
01/26/2017,64.27
01/25/2017,63.68
01/24/2017,63.52
01/23/2017,62.96
01/20/2017,62.74
01/19/2017,62.3
01/18/2017,62.5
01/17/2017,62.53
01/13/2017,62.7
1/12/2017,62.61
1/11/2017,63.19
1/10/2017,62.62
1/9/2017,62.64
1/6/2017,62.84
1/5/2017,62.3
1/4/2017,62.3
1/3/2017,62.58
12/30/2016,62.14
12/29/2016,62.9
12/28/2016,62.99
12/27/2016,63.28
12/23/2016,63.24
12/22/2016,63.55
12/21/2016,63.54
12/20/2016,63.54
12/19/2016,63.62
12/16/2016,62.3
12/15/2016,62.58
12/14/2016,62.68
12/13/2016,62.98
12/12/2016,62.17
12/9/2016,61.97
12/8/2016,61.01
12/7/2016,61.37
12/6/2016,59.95
12/5/2016,60.22
12/2/2016,59.25
12/1/2016,59.2
11/30/2016,60.26
11/29/2016,61.09
11/28/2016,60.61
11/25/2016,60.53
11/23/2016,60.4
11/22/2016,61.12
11/21/2016,60.86
11/18/2016,60.35
11/17/2016,60.64
11/16/2016,59.65
11/15/2016,58.87
11/14/2016,58.12
11/11/2016,59.02
11/10/2016,58.7
11/9/2016,60.17
11/8/2016,60.47
11/7/2016,60.42
11/4/2016,58.71
11/3/2016,59.21
11/2/2016,59.43
11/1/2016,59.8
10/31/2016,59.92
10/28/2016,59.87
10/27/2016,60.1
10/26/2016,60.63
10/25/2016,60.99
10/24/2016,61
10/21/2016,59.66
10/20/2016,57.25
10/19/2016,57.53
